2024-03-11 14:36:19,743 -                train: [    INFO] - Training with a single process on 1 GPUs.
2024-03-11 14:36:20,978 -  timm.models.helpers: [    INFO] - Loaded model from checkpoint '/wzy/KD-engine/cache/ckpt/deit_tiny_patch16_224-a1311bcf.pth'
2024-03-11 14:36:21,082 -                train: [    INFO] - Model mobilenetv3 created, param count:4231976
2024-03-11 14:36:21,083 -     timm.data.config: [    INFO] - Data processing configuration for current model + dataset:
2024-03-11 14:36:21,085 -     timm.data.config: [    INFO] - 	input_size: (3, 224, 224)
2024-03-11 14:36:21,086 -     timm.data.config: [    INFO] - 	interpolation: bicubic
2024-03-11 14:36:21,086 -     timm.data.config: [    INFO] - 	mean: (0.485, 0.456, 0.406)
2024-03-11 14:36:21,087 -     timm.data.config: [    INFO] - 	std: (0.229, 0.224, 0.225)
2024-03-11 14:36:21,087 -     timm.data.config: [    INFO] - 	crop_pct: 0.875
2024-03-11 14:36:22,922 -                train: [    INFO] - 
-------------------------------
Learnable parameters
Student: 4.23M
Extra: 0.00M
-------------------------------
2024-03-11 14:36:29,291 -                train: [    INFO] - AMP not enabled. Training in float32.
2024-03-11 14:36:29,292 -                train: [    INFO] - Scheduled epochs: 10
2024-03-11 14:36:33,327 -                train: [    INFO] - Train: 0 [   0/390 (  0%)]  Loss: 9.304 (9.30)  Loss_gt: 6.940 (6.94)  Loss_kd: 2.363 (2.36) LR: 1.000e-04
2024-03-11 14:37:01,126 -                train: [    INFO] - Train: 0 [ 200/390 ( 51%)]  Loss: 8.840 (9.04)  Loss_gt: 6.765 (6.82)  Loss_kd: 2.075 (2.22) LR: 1.000e-04
2024-03-11 14:37:27,200 -                train: [    INFO] - Train: 0 [ 389/390 (100%)]  Loss: 8.561 (8.91)  Loss_gt: 6.528 (6.73)  Loss_kd: 2.033 (2.18) LR: 1.000e-04
2024-03-11 14:37:28,686 -                train: [    INFO] - Test: [   0/78]  Time: 1.483 (1.483)  Loss:  6.4653 (6.4653)  Acc@1:  0.0000 ( 0.0000)  Acc@5:  4.6875 ( 4.6875)
2024-03-11 14:37:32,221 -                train: [    INFO] - Test: [  78/78]  Time: 0.170 (0.064)  Loss:  6.4500 (6.4512)  Acc@1:  0.0000 ( 0.0400)  Acc@5:  0.0000 ( 4.6600)
2024-03-11 14:37:32,344 - timm.utils.checkpoint_saver: [    INFO] - Current checkpoints:
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-0.pth.tar', 0.04)

2024-03-11 14:37:33,029 -                train: [    INFO] - Train: 1 [   0/390 (  0%)]  Loss: 8.582 (8.58)  Loss_gt: 6.507 (6.51)  Loss_kd: 2.074 (2.07) LR: 1.673e-02
2024-03-11 14:38:00,788 -                train: [    INFO] - Train: 1 [ 200/390 ( 51%)]  Loss: 6.853 (7.31)  Loss_gt: 4.906 (5.32)  Loss_kd: 1.947 (1.99) LR: 1.673e-02
2024-03-11 14:38:27,315 -                train: [    INFO] - Train: 1 [ 389/390 (100%)]  Loss: 6.661 (7.04)  Loss_gt: 4.738 (5.12)  Loss_kd: 1.922 (1.92) LR: 1.673e-02
2024-03-11 14:38:27,722 -                train: [    INFO] - Test: [   0/78]  Time: 0.405 (0.405)  Loss:  4.4986 (4.4986)  Acc@1: 11.7188 (11.7188)  Acc@5: 35.9375 (35.9375)
2024-03-11 14:38:31,152 -                train: [    INFO] - Test: [  78/78]  Time: 0.006 (0.049)  Loss:  4.2357 (4.4976)  Acc@1:  6.2500 ( 9.9400)  Acc@5: 43.7500 (31.7300)
2024-03-11 14:38:31,285 - timm.utils.checkpoint_saver: [    INFO] - Current checkpoints:
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-1.pth.tar', 9.94)
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-0.pth.tar', 0.04)

2024-03-11 14:38:31,954 -                train: [    INFO] - Train: 2 [   0/390 (  0%)]  Loss: 6.425 (6.43)  Loss_gt: 4.667 (4.67)  Loss_kd: 1.758 (1.76) LR: 3.337e-02
2024-03-11 14:38:59,681 -                train: [    INFO] - Train: 2 [ 200/390 ( 51%)]  Loss: 6.276 (6.52)  Loss_gt: 4.642 (4.77)  Loss_kd: 1.634 (1.75) LR: 3.337e-02
2024-03-11 14:39:26,449 -                train: [    INFO] - Train: 2 [ 389/390 (100%)]  Loss: 6.156 (6.40)  Loss_gt: 4.594 (4.68)  Loss_kd: 1.562 (1.72) LR: 3.337e-02
2024-03-11 14:39:26,884 -                train: [    INFO] - Test: [   0/78]  Time: 0.433 (0.433)  Loss:  4.0671 (4.0671)  Acc@1: 15.6250 (15.6250)  Acc@5: 49.2188 (49.2188)
2024-03-11 14:39:30,319 -                train: [    INFO] - Test: [  78/78]  Time: 0.008 (0.049)  Loss:  4.2029 (4.1096)  Acc@1: 25.0000 (16.8400)  Acc@5: 31.2500 (42.8000)
2024-03-11 14:39:30,679 - timm.utils.checkpoint_saver: [    INFO] - Current checkpoints:
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-2.pth.tar', 16.84)
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-1.pth.tar', 9.94)
 ('./output/train/20240311-143629-mobilenetv3-224/checkpoint/checkpoint-0.pth.tar', 0.04)

2024-03-11 14:39:31,300 -                train: [    INFO] - Train: 3 [   0/390 (  0%)]  Loss: 6.083 (6.08)  Loss_gt: 4.450 (4.45)  Loss_kd: 1.633 (1.63) LR: 3.990e-02
2024-03-11 14:39:59,341 -                train: [    INFO] - Train: 3 [ 200/390 ( 51%)]  Loss: 6.078 (6.06)  Loss_gt: 4.406 (4.42)  Loss_kd: 1.672 (1.63) LR: 3.990e-02
2024-03-11 14:40:25,283 -                train: [    INFO] - Train: 3 [ 389/390 (100%)]  Loss: 5.914 (5.97)  Loss_gt: 4.322 (4.36)  Loss_kd: 1.592 (1.61) LR: 3.990e-02
2024-03-11 14:40:25,665 -                train: [    INFO] - Test: [   0/78]  Time: 0.380 (0.380)  Loss:  3.4980 (3.4980)  Acc@1: 25.7812 (25.7812)  Acc@5: 60.1562 (60.1562)
